Date : 2023-09-10 21:33:33
Directory : /Users/emirhaneyidogan/Projeler/unilocked-website
Total : 433 files,  50074 codes, 271 comments, 3282 blanks, all 53627 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-communities/search-communities.component.html                       | HTML               |         20 |          0 |          1 |         21 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-communities/search-communities.component.scss                       | SCSS               |         36 |          0 |          0 |         36 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-communities/search-communities.component.spec.ts                    | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-communities/search-communities.component.ts                         | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-companies/search-companies.component.html                           | HTML               |         53 |          1 |          1 |         55 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-companies/search-companies.component.scss                           | SCSS               |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-companies/search-companies.component.spec.ts                        | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-companies/search-companies.component.ts                             | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-events/search-events.component.html                                 | HTML               |         24 |          1 |          1 |         26 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-events/search-events.component.scss                                 | SCSS               |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-events/search-events.component.spec.ts                              | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-events/search-events.component.ts                                   | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-highlights/search-highlights.component.html                         | HTML               |         69 |          1 |          1 |         71 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-highlights/search-highlights.component.scss                         | SCSS               |          5 |          0 |          3 |          8 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-highlights/search-highlights.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-highlights/search-highlights.component.ts                           | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-people/search-people.component.html                                 | HTML               |         73 |          1 |          1 |         75 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-people/search-people.component.scss                                 | SCSS               |         21 |          0 |          3 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-people/search-people.component.spec.ts                              | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-people/search-people.component.ts                                   | TypeScript         |         12 |          0 |          7 |         19 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-posts/search-posts.component.html                                   | HTML               |        105 |          1 |          0 |        106 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-posts/search-posts.component.scss                                   | SCSS               |          8 |          0 |          4 |         12 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-posts/search-posts.component.spec.ts                                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-posts/search-posts.component.ts                                     | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-projects/search-projects.component.html                             | HTML               |        176 |          1 |          0 |        177 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-projects/search-projects.component.scss                             | SCSS               |        278 |          5 |         39 |        322 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-projects/search-projects.component.spec.ts                          | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-projects/search-projects.component.ts                               | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/tabs/search-tab.scss                                                            | SCSS               |         96 |          2 |         12 |        110 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/site.module.ts                                                                                 | TypeScript         |        106 |          0 |         11 |        117 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/site.routing.module.ts                                                                         | TypeScript         |         74 |          0 |         21 |         95 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/css/bootstrap-grid.min.css                                                                       | CSS                |          1 |          6 |          0 |          7 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/css/plyr.css                                                                                     | CSS                |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/Subtract.svg                                                                                 | XML                |          3 |          0 |          1 |          4 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/Subtract2.svg                                                                                | XML                |          3 |          0 |          1 |          4 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/earth.svg                                                                                    | XML                |      1,289 |          0 |          1 |      1,290 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/google-logo.svg                                                                              | XML                |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/halka_1.svg                                                                                  | XML                |         25 |          1 |          1 |         27 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/ill-01.svg                                                                                   | XML                |      1,237 |          1 |          2 |      1,240 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/ill-02.svg                                                                                   | XML                |        878 |          0 |          0 |        878 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/ill-03.svg                                                                                   | XML                |      5,727 |          1 |          2 |      5,730 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/menu-profile.svg                                                                             | XML                |         18 |          0 |          1 |         19 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/img/ps3.html                                                                                     | HTML               |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/js/plyr.min.js                                                                                   | JavaScript         |          1 |          1 |          1 |          3 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/assets/svg/settings_alert.svg                                                                           | XML                |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/_variables.scss                                                                                  | SCSS               |        128 |          3 |          4 |        135 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/animations.css                                                                                   | CSS                |         11 |          0 |          0 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/animations.scss                                                                                  | SCSS               |         44 |          0 |          1 |         45 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/auth.module.ts                                                                              | TypeScript         |         65 |          0 |          5 |         70 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/auth.service.spec.ts                                                                        | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/auth.service.ts                                                                             | TypeScript         |         94 |          0 |         13 |        107 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/logged-in.service.ts                                                                        | TypeScript         |         31 |          0 |          4 |         35 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/login/login.component.html                                                                  | HTML               |         51 |          0 |         16 |         67 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/login/login.component.scss                                                                  | SCSS               |        103 |          0 |         23 |        126 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/login/login.component.spec.ts                                                               | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/login/login.component.ts                                                                    | TypeScript         |         90 |          0 |         21 |        111 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/not-logged-in.service.ts                                                                    | TypeScript         |         31 |          0 |          4 |         35 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/register/register.component.html                                                            | HTML               |        290 |          0 |         10 |        300 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/register/register.component.scss                                                            | SCSS               |        184 |          2 |         31 |        217 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/register/register.component.spec.ts                                                         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/register/register.component.ts                                                              | TypeScript         |        103 |          0 |          9 |        112 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/main-settings.component.css                                          | CSS                |          0 |          1 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/main-settings.component.html                                         | HTML               |         10 |          0 |          3 |         13 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/main-settings.component.scss                                         | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/main-settings.component.spec.ts                                      | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/main-settings.component.ts                                           | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/account-settings/account-settings.component.css               | CSS                |          3 |          0 |          0 |          3 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/account-settings/account-settings.component.html              | HTML               |        157 |          0 |          5 |        162 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/account-settings/account-settings.component.scss              | SCSS               |          3 |          0 |          0 |          3 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/account-settings/account-settings.component.spec.ts           | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/account-settings/account-settings.component.ts                | TypeScript         |         37 |          0 |         15 |         52 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/notification-settings/notification-settings.component.css     | CSS                |         11 |          0 |          2 |         13 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/notification-settings/notification-settings.component.html    | HTML               |        455 |          0 |         49 |        504 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/notification-settings/notification-settings.component.scss    | SCSS               |         11 |          0 |          3 |         14 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/notification-settings/notification-settings.component.spec.ts | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/notification-settings/notification-settings.component.ts      | TypeScript         |         39 |          0 |          5 |         44 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/panel.css                                                     | CSS                |         23 |          0 |          1 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/panel.scss                                                    | SCSS               |         23 |          0 |          5 |         28 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/privacy-settings/privacy-settings.component.css               | CSS                |          0 |          1 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/privacy-settings/privacy-settings.component.html              | HTML               |         21 |          0 |          5 |         26 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/privacy-settings/privacy-settings.component.scss              | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/privacy-settings/privacy-settings.component.spec.ts           | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/privacy-settings/privacy-settings.component.ts                | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/security-settings/security-settings.component.css             | CSS                |          6 |          0 |          1 |          7 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/security-settings/security-settings.component.html            | HTML               |         33 |          0 |          3 |         36 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/security-settings/security-settings.component.scss            | SCSS               |          6 |          0 |          1 |          7 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/security-settings/security-settings.component.spec.ts         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/main-settings/panels/security-settings/security-settings.component.ts              | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/settings.service.spec.ts                                                           | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/settings/settings.service.ts                                                                | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/styles/auth.css                                                                             | CSS                |         93 |          0 |          9 |        102 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/styles/auth.scss                                                                            | SCSS               |         95 |          0 |         20 |        115 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/types/role.ts                                                                               | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/auth/types/user.ts                                                                               | TypeScript         |         21 |          0 |          9 |         30 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/common.module.ts                                                                                 | TypeScript         |         56 |          0 |          3 |         59 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/http/http-error-handler.service.spec.ts                                                     | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/http/http-error-handler.service.ts                                                          | TypeScript         |         28 |          4 |         10 |         42 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/http/http.module.ts                                                                         | TypeScript         |         11 |          0 |          4 |         15 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/http/http.service.spec.ts                                                                   | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/http/http.service.ts                                                                        | TypeScript         |        102 |          0 |         14 |        116 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/http/standart-response.ts                                                                   | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/pipes/date-ago.pipe.spec.ts                                                                 | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/pipes/date-ago.pipe.ts                                                                      | TypeScript         |         34 |          1 |          3 |         38 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/toast/toast/toast.module.ts                                                                 | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/toast/toast/toast.service.spec.ts                                                           | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/toast/toast/toast.service.ts                                                                | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/translations/localizations.service.ts                                                       | TypeScript         |         29 |         18 |          9 |         56 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/translations/translate.directive.ts                                                         | TypeScript         |         73 |          5 |         15 |         93 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/translations/translate.pipe.ts                                                              | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/translations/translations.module.ts                                                         | TypeScript         |         14 |          0 |          2 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/translations/translations.service.ts                                                        | TypeScript         |         57 |          5 |         18 |         80 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/upload/upload.module.ts                                                                     | TypeScript         |          9 |          0 |          4 |         13 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/upload/upload.service.spec.ts                                                               | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/core/upload/upload.service.ts                                                                    | TypeScript         |         45 |          3 |          5 |         53 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/scss/_dark-vars.scss                                                                             | SCSS               |         13 |          4 |          7 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/scss/_light-vars.scss                                                                            | SCSS               |         13 |          3 |          8 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/event-card/event-card.component.html                                                          | HTML               |         45 |          0 |          1 |         46 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/event-card/event-card.component.scss                                                          | SCSS               |        174 |          2 |         18 |        194 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/event-card/event-card.component.spec.ts                                                       | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/event-card/event-card.component.ts                                                            | TypeScript         |         20 |          0 |          9 |         29 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/info-card/info-card.component.css                                                             | CSS                |         38 |          0 |          0 |         38 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/info-card/info-card.component.html                                                            | HTML               |         27 |          0 |          2 |         29 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/info-card/info-card.component.scss                                                            | SCSS               |         38 |          0 |          9 |         47 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/info-card/info-card.component.spec.ts                                                         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/info-card/info-card.component.ts                                                              | TypeScript         |         19 |          0 |          8 |         27 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/login-box/login-box.component.css                                                             | CSS                |          0 |          1 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/login-box/login-box.component.html                                                            | HTML               |          1 |          0 |          1 |          2 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/login-box/login-box.component.scss                                                            | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/login-box/login-box.component.spec.ts                                                         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/login-box/login-box.component.ts                                                              | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/logo/logo.component.css                                                                       | CSS                |          4 |          0 |          0 |          4 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/logo/logo.component.html                                                                      | HTML               |          1 |          0 |          1 |          2 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/logo/logo.component.scss                                                                      | SCSS               |          4 |          0 |          6 |         10 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/logo/logo.component.spec.ts                                                                   | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/logo/logo.component.ts                                                                        | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/admin-navbar/admin-navbar.component.html                                               | HTML               |         78 |          0 |          8 |         86 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/admin-navbar/admin-navbar.component.scss                                               | SCSS               |        183 |          8 |         29 |        220 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/admin-navbar/admin-navbar.component.spec.ts                                            | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/admin-navbar/admin-navbar.component.ts                                                 | TypeScript         |         53 |          0 |         10 |         63 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/guest-navbar/guest-navbar.component.css                                                | CSS                |         64 |          0 |          9 |         73 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/guest-navbar/guest-navbar.component.html                                               | HTML               |         10 |          0 |          6 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/guest-navbar/guest-navbar.component.scss                                               | SCSS               |         62 |          0 |         26 |         88 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/guest-navbar/guest-navbar.component.spec.ts                                            | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/guest-navbar/guest-navbar.component.ts                                                 | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/navbar.component.html                                                                  | HTML               |         10 |          0 |          1 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/navbar.component.ts                                                                    | TypeScript         |         16 |          0 |          8 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/user-navbar/user-navbar.component.html                                                 | HTML               |         74 |          0 |          5 |         79 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/user-navbar/user-navbar.component.scss                                                 | SCSS               |        128 |          8 |         23 |        159 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/user-navbar/user-navbar.component.spec.ts                                              | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/navbar/user-navbar/user-navbar.component.ts                                                   | TypeScript         |         53 |          0 |         10 |         63 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider-item/slider-item.component.css                                                  | CSS                |         18 |          0 |          0 |         18 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider-item/slider-item.component.html                                                 | HTML               |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider-item/slider-item.component.scss                                                 | SCSS               |         14 |          0 |          3 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider-item/slider-item.component.spec.ts                                              | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider-item/slider-item.component.ts                                                   | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider.component.css                                                                   | CSS                |         12 |          0 |          0 |         12 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider.component.html                                                                  | HTML               |          9 |          0 |          1 |         10 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider.component.scss                                                                  | SCSS               |         12 |          0 |          2 |         14 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider.component.spec.ts                                                               | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/slider/slider.component.ts                                                                    | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/theming/app-theme.service.spec.ts                                                             | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/common/ui/theming/app-theme.service.ts                                                                  | TypeScript         |         32 |          0 |         11 |         43 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/environments/environment.prod.ts                                                                        | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/environments/environment.ts                                                                             | TypeScript         |          3 |         11 |          3 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/index.html                                                                                              | HTML               |         18 |          0 |          3 |         21 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/main.ts                                                                                                 | TypeScript         |          9 |          0 |          4 |         13 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/polyfills.ts                                                                                            | TypeScript         |          1 |         47 |          6 |         54 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/styles.scss                                                                                             | SCSS               |        127 |         18 |         41 |        186 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/test.ts                                                                                                 | TypeScript         |         10 |          2 |          3 |         15 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/tsconfig.app.json                                                                                           | JSON               |         14 |          1 |          2 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/tsconfig.json                                                                                               | JSON with Comments |         28 |         15 |          0 |         43 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/tsconfig.spec.json                                                                                          | JSON               |         17 |          1 |          1 |         19 |
| Total                                                                                                                                                         |                    |     50,074 |        271 |      3,282 |     53,627 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
